"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 02 14:08:13 GMT 2024","Sat Nov 02 14:08:14 GMT 2024","649","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"failed","Sat Nov 02 14:08:01 GMT 2024","Sat Nov 02 14:08:02 GMT 2024","652","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"failed","Sat Nov 02 14:07:29 GMT 2024","Sat Nov 02 14:07:30 GMT 2024","846","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Sat Nov 02 14:08:13 GMT 2024","Sat Nov 02 14:08:24 GMT 2024","11369","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"passed","Sat Nov 02 14:07:29 GMT 2024","Sat Nov 02 14:08:01 GMT 2024","32155","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"failed","Sat Nov 02 14:08:04 GMT 2024","Sat Nov 02 14:08:15 GMT 2024","10844","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"passed","Sat Nov 02 14:08:04 GMT 2024","Sat Nov 02 14:08:13 GMT 2024","9116","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Sat Nov 02 14:07:30 GMT 2024","Sat Nov 02 14:07:31 GMT 2024","505","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"broken","Sat Nov 02 14:07:31 GMT 2024","Sat Nov 02 14:08:04 GMT 2024","32982","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Sat Nov 02 14:08:02 GMT 2024","Sat Nov 02 14:08:13 GMT 2024","11189","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Sat Nov 02 14:07:29 GMT 2024","Sat Nov 02 14:08:04 GMT 2024","34526","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Sat Nov 02 14:07:29 GMT 2024","Sat Nov 02 14:08:21 GMT 2024","51963","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"passed","Sat Nov 02 14:08:14 GMT 2024","Sat Nov 02 14:08:24 GMT 2024","9664","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
